person_id,full_name,D_RAPM,O_RAPM,RAPM,mp,season_name
198,Danny Ferry,0.0423816803032969,-0.00996057828129329,0.0324211020220036,975.8549999704,NBA_1998
446,Lucious Harris,0.0132946746640499,0.0187055456650763,0.0320002203291261,624.5283333141,NBA_1998
185,Chris Webber,0.0278774915035105,0.00383992932348998,0.0317174208270004,2728.1649999378,NBA_1998
727,Eric Snow,0.0373332717561468,-0.00656601706983876,0.030767254686308,832.2283333067,NBA_1998
711,Jerry Stackhouse,-0.0122330219049826,0.0423838678676364,0.0301508459626537,2424.4483332737,NBA_1998
201,Chris Dudley,0.0492104699825752,-0.0199624721415352,0.02924799784104,799.4233333174,NBA_1998
165,Hakeem Olajuwon,0.00418646306165938,0.0243902346694643,0.0285766977311237,1581.8683333067,NBA_1998
1477,Bruce Bowen,0.0381004750011891,-0.0102879041256266,0.0278125708755625,1225.3566666268,NBA_1998
262,Michael Cage,0.0289109066827322,-0.0011189621151399,0.0277919445675923,1129.8016666367,NBA_1998
1563,Kevin Ollie,0.0461868053772354,-0.0186969577093542,0.0274898476678812,373.7099999903,NBA_1998
65,Greg Minor,0.0287283512141937,-0.00176324348750236,0.0269651077266914,1040.4216666356,NBA_1998
195,Lee Mayberry,-0.0500627528401286,0.0766551447164923,0.0265923918763637,1725.7983332955,NBA_1998
70,Steve Kerr,0.0260246427333443,0.000407759493542635,0.0264324022268869,1007.7383333079,NBA_1998
1000,Shandon Anderson,0.00960545508445354,0.0161247790176106,0.0257302341020641,1446.9533332947,NBA_1998
299,Glenn Robinson,0.0106946654781659,0.0147488952307473,0.0254435607089132,2231.0333332865,NBA_1998
251,Sean Elliott,0.0689561279056514,-0.0446363509855941,0.0243197769200573,965.2216666482,NBA_1998
283,Lindsey Hunter,0.0561656364516181,-0.0321169513477604,0.0240486851038576,2350.5166666138,NBA_1998
674,Reggie Jordan,0.00688643316445861,0.0168813418666368,0.0237677750310954,413.1649999883,NBA_1998
330,Danny Manning,0.0635293166720729,-0.039837422604052,0.0236918940680209,1520.3509999596,NBA_1998
417,Sam Mitchell,-0.0675923957821088,0.0907278217378242,0.0231354259557154,2147.863333281,NBA_1998
384,Calbert Cheaney,0.00181806197662661,0.0208682234393754,0.022686285416002,2781.1316666045,NBA_1998
197,Scott Burrell,0.0382785842431613,-0.0158639159569416,0.0224146682862198,977.9283333083,NBA_1998
1507,Derek Anderson,0.110252179015749,-0.0883404415646608,0.0219117374510877,1749.2699999499,NBA_1998
787,Charles Barkley,-0.148424160414911,0.169597738327325,0.0211735779124141,2187.5403332892,NBA_1998
328,Rick Mahorn,0.0115725279477314,0.00806262807914762,0.019635156026879,659.4233333145,NBA_1998
42,Monty Williams,0.0442534076445565,-0.026001614879725,0.0182517927648315,1006.3533333097,NBA_1998
265,Harvey Grant,0.02641717224272,-0.00930243221501067,0.0171147400277093,833.6549999761,NBA_1998
731,Greg Ostertag,0.0263123689992221,-0.00931247361226349,0.0169998953869586,1214.4649999746,NBA_1998
219,Vinny Del Negro,0.0322609642986455,-0.0152703306704799,0.0169906336281656,1373.4299999723,NBA_1998
375,Isaiah Rider,0.0167436919186331,-0.000395926372754072,0.016347765545879,2720.209999942,NBA_1998
433,Buck Williams,-0.00246114710409315,0.0184768665582756,0.0160157194541824,691.1816666489,NBA_1998
76,Cedric Ceballos,0.00801296095014968,0.00783679942802226,0.0158497603781719,349.8783333273,NBA_1998
1541,Alvin Williams,-0.000540235411899811,0.0163764053682397,0.0158361699563399,997.3883333055,NBA_1998
721,Tyus Edney,0.0326185538707269,-0.0180359954848176,0.0145825583859093,589.0849999804,NBA_1998
442,Pervis Ellison,0.0257883154107208,-0.0118234889746561,0.0139648264360647,427.9733333219,NBA_1998
85,Brent Price,-0.0266472142690037,0.0405530226849998,0.013905808415996,1251.3366666375,NBA_1998
913,Larry Johnson,0.0111314711398896,0.00161520334736988,0.0127466744872595,2286.0566666234,NBA_1998
1425,Aaron Williams,-0.00627786721712426,0.0186232422358304,0.0123453750187061,608.6499999843,NBA_1998
344,Dana Barros,0.0242328186655039,-0.0119413412322432,0.0122914774332608,1579.8666666173,NBA_1998
762,Shawn Bradley,0.0579674015616003,-0.0465279712507599,0.0114394303108404,1772.1299999651,NBA_1998
673,Alan Henderson,-0.0135358723946647,0.0249556344477716,0.0114197620531069,1945.8883332905,NBA_1998
1023,Emanual Davis,-0.0154074624210706,0.0267507872021833,0.0113433247811127,513.2439999874,NBA_1998
891,Charles Oakley,0.0859183059441511,-0.0746950018287174,0.0112233041154337,2611.3966666168,NBA_1998
760,Jerome Kersey,-0.00354469274193298,0.0147381896050636,0.0111934968631307,647.6716666491,NBA_1998
462,J.R. Reid,0.02538046450554,-0.0141877904851982,0.0111926740203418,981.9566666369,NBA_1998
45,George McCloud,0.0278741171970312,-0.0169032214408021,0.0109708957562291,946.9233333109,NBA_1998
957,Todd Fuller,0.0367132524426087,-0.0258510911417526,0.0108621613008561,525.1799999868,NBA_1998
209,Dell Curry,0.00530567907609725,0.0040031523819697,0.00930883145806695,920.2099999736,NBA_1998
345,Terry Porter,-0.0876816045182688,0.0958796453253336,0.00819804080706488,1709.1766666234,NBA_1998
98,Nick Anderson,0.020209186035304,-0.0125797660328282,0.00762942000247587,1643.8133332988,NBA_1998
