season,season_name,team_id,team_abbr,team_city,team_name,person_id,first_name,last_name,full_name,possession,oapm,oapm_error,dapm,dapm_error,apm,apm_error,ospm,dspm,spm
2015-16,NBA_2016,1610612754,IND,Indiana,Pacers,202331,Paul,George,Paul George,12395,1.61111236599251,1.26534507551454,1.40415329528433,1.26174980045778,3.01526566127684,1.79507523500518,,,
2011-12,NBA_2012,1610612754,IND,Indiana,Pacers,202331,Paul,George,Paul George,7520,0.794246365,1.064493519,0.972689386,1.062390533,1.76693575,1.513252496,0.423268583,0.369583469,0.792852052
2012-13,NBA_2013,1610612739,CLE,Cleveland,Cavaliers,202684,Tristan,Thompson,Tristan Thompson,9841,-0.0312023211157175,1.06388738429611,0.559233392279028,1.06263283831294,0.52803107116331,1.5170384705583,,,
2005-06,NBA_2006,1610612753,ORL,Orlando,Magic,2730,Dwight,Howard,Dwight Howard,11116,0.230439088,1.097664936,0.516137392,1.095487605,0.74657648,1.569585231,-0.655328992,1.584965435,0.929636443
2010-11,NBA_2011,1610612766,CHA,Charlotte,Bobcats,2733,Shaun,Livingston,Shaun Livingston,4652,-1.180406399,0.700301435,1.078312523,0.700520696,-0.102093877,0.991306243,-0.742470439,0.588717185,-0.153753254
2018-19,NBA_2019,1610612744,GSW,Golden State,Warriors,2733,Shaun,Livingston,Shaun Livingston,3662,-1.11241125157236,0.263244793149842,0.0621409669077428,0.263857532808736,-1.05027028466462,0.372758635060758,,,
2005-06,NBA_2006,1610612746,LAC,Los Angeles,Clippers,2733,Shaun,Livingston,Shaun Livingston,5856,-2.197076072,0.860948812,0.82662772,0.863116859,-1.370448352,1.221684969,-1.835240886,0.895532287,-0.939708599
2013-14,NBA_2014,1610612741,CHI,Chicago,Bulls,2736,Luol,Deng,Luol Deng,8454,0.0989293282248944,1.022930578853,-0.331284936460488,1.02455628835748,-0.232355608235593,1.4454713290631,,,
2014-15,NBA_2015,1610612748,MIA,Miami,Heat,2736,Luol,Deng,Luol Deng,9194,1.69361235851892,1.12030522045079,-1.06682343333841,1.11830650331094,0.626788925180506,1.60746030544584,,,
2012-13,NBA_2013,1610612741,CHI,Chicago,Bulls,2736,Luol,Deng,Luol Deng,10944,0.0323432653199696,1.14338060883788,1.52799577890052,1.14273322985573,1.56033904422049,1.62885916598477,,,
2017-18,NBA_2018,1610612747,LAL,Los Angeles,Lakers,2736,Luol,Deng,Luol Deng,56,-1.76365985060854,0.379684066739766,-0.127484569761561,0.36879498027975,-1.8911444203701,0.52931392381976,,,
2015-16,NBA_2016,1610612748,MIA,Miami,Heat,2736,Luol,Deng,Luol Deng,10208,-0.841532117004068,1.16344449713171,-0.0226416477179452,1.16433492773505,-0.864173764722013,1.65720970087449,,,
2008-09,NBA_2009,1610612741,CHI,Chicago,Bulls,2736,Luol,Deng,Luol Deng,6510,-0.890234687,0.969369537,0.380973458,0.970025004,-0.509261229,1.37500897,-0.339842266,-0.310813762,-0.650656028
